flow_name,flow_label,retire_index,total_retire,step,cycle,pc,inst,opcode,regwr,rd,rd_data,memwr,mem_addr,mem_data,illegal,stall,redirect,fwdA,fwdB
pipeline_spike,Pipeline TB,1,490,5,4,0x80000000,0x00010117,AUIPC,1,2,0x80010000,0,0x80010000,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,2,490,6,5,0x80000004,0x00010113,ALUI,1,2,0x80010000,0,0x80010000,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,3,490,7,6,0x80000008,0x008000ef,JAL,1,1,0x8000000c,0,0x00000000,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,4,490,8,9,0x80000010,0xfe010113,ALUI,1,2,0x8000ffe0,0,0x8000ffe0,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,5,490,9,10,0x80000014,0x00812e23,STORE,0,28,0x8000fffc,1,0x8000fffc,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,6,490,10,11,0x80000018,0x02010413,ALUI,1,8,0x80010000,0,0x80010000,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,7,490,11,12,0x8000001c,0xfe042623,STORE,0,12,0x8000ffec,1,0x8000ffec,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,8,490,12,13,0x80000020,0x0e00006f,JAL,1,0,0x80000024,0,0x00000000,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,9,490,13,16,0x80000100,0xfec42703,LOAD,1,14,0x00000000,0,0x8000ffec,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,10,490,14,17,0x80000104,0x00300793,ALUI,1,15,0x00000003,0,0x00000003,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,11,490,15,18,0x80000108,0xf0e7dee3,BRANCH,0,29,0x00000003,0,0x00000003,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,12,490,16,21,0x80000024,0xfe042423,STORE,0,8,0x8000ffe8,1,0x8000ffe8,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,13,490,17,22,0x80000028,0x0b80006f,JAL,1,0,0x8000002c,0,0x00000000,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,14,490,18,25,0x800000e0,0x00400713,ALUI,1,14,0x00000004,0,0x00000004,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,15,490,19,26,0x800000e4,0xfec42783,LOAD,1,15,0x00000000,0,0x8000ffec,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,16,490,20,28,0x800000e8,0x40f707b3,ALUR,1,15,0x00000004,0,0x00000004,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,17,490,21,29,0x800000ec,0xfe842703,LOAD,1,14,0x00000000,0,0x8000ffe8,0x80010000,0,0,0,0,0
pipeline_spike,Pipeline TB,18,490,22,31,0x800000f0,0xf2f74ee3,BRANCH,0,29,0x00000004,0,0x00000004,0x00000004,0,0,0,0,0
pipeline_spike,Pipeline TB,19,490,23,34,0x8000002c,0x800007b7,LUI,1,15,0x80000000,0,0x80000000,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,20,490,24,35,0x80000030,0x13478713,ALUI,1,14,0x80000134,0,0x80000134,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,21,490,25,36,0x80000034,0xfe842783,LOAD,1,15,0x00000000,0,0x8000ffe8,0x80010000,0,0,0,0,0
pipeline_spike,Pipeline TB,22,490,26,38,0x80000038,0x00279793,ALUI,1,15,0x00000000,0,0x00000000,0x8000ffe0,0,0,0,0,0
pipeline_spike,Pipeline TB,23,490,27,39,0x8000003c,0x00f707b3,ALUR,1,15,0x80000134,0,0x80000134,0x00000000,0,0,0,0,0
