step,pc,inst,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31
0,0x00001000,0x00000297,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00001000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
1,0x00001004,0x02028593,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00001000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
2,0x00001008,0xf1402573,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00001000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
3,0x0000100c,0x0182a283,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
4,0x00001010,0x00028067,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
5,0x80000000,0x00010117,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
6,0x80000004,0x00010113,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
7,0x80000008,0x008000ef,0x00000000,0x8000000c,0x80010000,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
8,0x80000010,0xfe010113,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
9,0x80000014,0x00812e23,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
10,0x80000018,0x02010413,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
11,0x8000001c,0xfe042623,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
12,0x80000020,0x0e00006f,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
13,0x80000100,0xfec42703,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
14,0x80000104,0x00300793,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000000,0x00000003,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
15,0x80000108,0xf0e7dee3,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000000,0x00000003,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
16,0x80000024,0xfe042423,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000000,0x00000003,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
17,0x80000028,0x0b80006f,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000000,0x00000003,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
18,0x800000e0,0x00400713,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000004,0x00000003,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
19,0x800000e4,0xfec42783,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000004,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
20,0x800000e8,0x40f707b3,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000004,0x00000004,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
21,0x800000ec,0xfe842703,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000000,0x00000004,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
22,0x800000f0,0xf2f74ee3,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000000,0x00000004,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
23,0x8000002c,0x800007b7,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
24,0x80000030,0x13478713,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x80000134,0x80000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
25,0x80000034,0xfe842783,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x80000134,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
26,0x80000038,0x00279793,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x80000134,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
27,0x8000003c,0x00f707b3,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x80000134,0x80000134,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
28,0x80000040,0x0007a703,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000009,0x80000134,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
29,0x80000044,0xfe842783,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000009,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
30,0x80000048,0x00178793,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000009,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
31,0x8000004c,0x800006b7,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x80000000,0x00000009,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
32,0x80000050,0x13468693,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x80000134,0x00000009,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
