module_name,scenario_id,scenario_name,sample_count,wr_acc_count,rd_acc_count,wr_block_count,rd_block_count,module_label
async_fifo,1,fill_burst,229,23,8,19,1,Async FIFO (Showcase)
async_fifo,2,mixed_stress,231,28,29,6,0,Async FIFO (Showcase)
async_fifo,3,drain_burst,231,10,24,0,18,Async FIFO (Showcase)
async_fifo,4,full_pressure,231,26,11,16,0,Async FIFO (Showcase)
async_fifo,5,empty_pressure,230,9,22,0,20,Async FIFO (Showcase)
async_fifo_src,1,fill_burst,229,23,8,19,1,Async FIFO (Dedicated RTL)
async_fifo_src,2,mixed_stress,231,28,29,6,0,Async FIFO (Dedicated RTL)
async_fifo_src,3,drain_burst,231,10,24,0,18,Async FIFO (Dedicated RTL)
async_fifo_src,4,full_pressure,231,26,11,16,0,Async FIFO (Dedicated RTL)
async_fifo_src,5,empty_pressure,230,9,22,0,20,Async FIFO (Dedicated RTL)
sync_fifo,1,fill_burst,64,31,15,33,1,Sync FIFO
sync_fifo,2,simul_stress,64,64,64,0,0,Sync FIFO
sync_fifo,3,drain_burst,64,19,31,0,33,Sync FIFO
sync_fifo,4,flag_pressure,64,43,46,2,0,Sync FIFO
sync_fifo,5,balanced_stream,63,45,42,0,6,Sync FIFO
